,menu_price,votes,average_cost_for_two,restaurant_id,restaurant_name,country_code,city,address,locality,locality_verbose,cuisine,currency,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,rating,menu_category,item_name,price_range_cat
6309,-0.18037307124507507,1.4057625161303742,6.803505257608338,311267,,1,,,,,,,0,1,0,0,2,3.8,,,2
6310,-0.18037307124507507,0.3288504055744826,6.803505257608338,18369763,,1,,,,,,,0,1,0,0,2,3.9,,,2
6311,-0.18037307124507507,0.5570108160424287,6.55250788703459,8365,,1,,,,,,,0,0,0,0,2,3.4,,,2
6312,-0.18037307124507507,0.9213733523817393,6.55250788703459,209,,1,,,,,,,0,0,0,0,2,2.3,,,2
6313,-0.18037307124507507,0.6791989342078338,6.55250788703459,8376,,1,,,,,,,0,0,0,0,2,2.4,,,2
6314,-0.18037307124507507,1.0456839825129438,6.55250788703459,203,,1,,,,,,,0,0,0,0,2,2.5,,,2
6315,-0.18037307124507507,0.7771956069323102,6.55250788703459,202,,1,,,,,,,0,0,0,0,2,3.2,,,2
6316,-0.18037307124507507,0.7045388931134247,6.55250788703459,201,,1,,,,,,,0,0,0,0,2,3.5,,,2
6317,-0.18037307124507507,0.3627869825210754,6.55250788703459,8396,,1,,,,,,,0,0,0,0,2,2.7,,,2
6318,-0.18037307124507507,0.3945456132265116,6.55250788703459,3224,,1,,,,,,,0,0,0,0,2,3.0,,,2
6319,-0.18037307124507507,0.5514381981938916,6.55250788703459,5060,,1,,,,,,,0,0,0,0,2,3.3,,,2
6320,-0.18037307124507507,0.6615581923453873,6.55250788703459,6625,,1,,,,,,,0,0,0,0,2,2.5,,,2
6321,-0.18037307124507507,0.49825000850270085,6.55250788703459,199,,1,,,,,,,0,0,0,0,2,2.5,,,2
6322,-0.18037307124507507,0.06919909082432256,6.55250788703459,303637,,1,,,,,,,0,0,0,0,2,2.3,,,2
6323,-0.18037307124507507,1.216370357828263,6.55250788703459,143,,1,,,,,,,0,0,0,0,2,3.7,,,2
6324,-0.18037307124507507,-0.46749518832009296,6.55250788703459,18082202,,1,,,,,,,0,0,0,0,2,3.0,,,2
6325,-0.18037307124507507,0.45253784732958896,6.55250788703459,8388,,1,,,,,,,0,0,0,0,2,2.4,,,2
6326,-0.18037307124507507,0.5679717660019465,6.55250788703459,7352,,1,,,,,,,0,0,0,0,2,3.3,,,2
6327,-0.18037307124507507,0.6242786948311003,6.55250788703459,198,,1,,,,,,,0,0,0,0,2,3.2,,,2
6328,-0.18037307124507507,0.5284999482573833,6.55250788703459,197,,1,,,,,,,0,0,0,0,2,2.8,,,2
6329,-0.18037307124507507,0.5458022871814072,6.55250788703459,15078,,1,,,,,,,0,0,0,0,2,3.6,,,2
6330,-0.18037307124507507,-0.9584750617626369,6.55250788703459,313078,,1,,,,,,,0,0,0,0,2,1.0,,,2
6331,-0.18037307124507507,0.44564930671208886,6.55250788703459,6877,,1,,,,,,,0,0,0,0,2,2.3,,,2
6332,-0.18037307124507507,0.8048745971857597,6.55250788703459,5065,,1,,,,,,,0,0,0,0,2,3.6,,,2
6333,-0.18037307124507507,0.06919909082432256,6.55250788703459,302251,,1,,,,,,,0,0,0,0,2,3.3,,,2
6334,-0.18037307124507507,0.44564930671208886,6.55250788703459,6747,,1,,,,,,,0,0,0,0,2,2.8,,,2
6335,-0.18037307124507507,0.6748471062937016,6.55250788703459,230,,1,,,,,,,0,0,0,0,2,2.4,,,2
6336,-0.18037307124507507,1.3341578298262202,6.803505257608338,309387,,1,,,,,,,1,1,0,0,2,3.6,,,2
6337,-0.18037307124507507,0.7286496983433004,6.55250788703459,225,,1,,,,,,,0,0,0,0,2,2.4,,,2
6338,-0.18037307124507507,1.0045908939073047,6.803505257608338,18245277,,1,,,,,,,1,1,0,0,2,4.0,,,2
6339,-0.18037307124507507,0.6385883321160076,6.55250788703459,227,,1,,,,,,,0,0,0,0,2,3.4,,,2
6340,-0.18037307124507507,-0.22736041094848983,6.55250788703459,18168161,,1,,,,,,,0,0,0,0,2,3.2,,,2
6341,-0.18037307124507507,-0.46749518832009296,6.55250788703459,309632,,1,,,,,,,0,0,0,0,2,2.9,,,2
6342,-0.18037307124507507,-0.17589108799055359,6.55250788703459,2500134,,1,,,,,,,0,0,0,0,2,3.1,,,2
6343,-0.18037307124507507,-0.34999417100898617,5.993961427306569,18323144,,1,,,,,,,0,0,0,0,1,3.2,,,1
6344,-0.18037307124507507,1.1585597968389947,7.244941546337007,3000001,,1,,,,,,,0,0,0,0,3,4.2,,,3
6345,-0.18037307124507507,0.3627869825210754,6.111467339502679,3900021,,1,,,,,,,0,0,0,0,2,3.4,,,2
6346,-0.18037307124507507,-0.029104413997371705,6.621405651764134,3167,,1,,,,,,,0,0,0,0,2,3.2,,,2
6347,-0.18037307124507507,-0.8504358192160233,6.2166061010848646,18463984,,1,,,,,,,0,0,0,0,2,3.0,,,2
